cidade_origem,uf_origem,cidade_destino,uf_destino,distancia_km,fonte
PANORAMA,SP,SAO PAULO,SP,681.6,google
PARAIBUNA,SP,SAO PAULO,SP,125.2,google
PALMITAL,SP,SAO PAULO,SP,414.3,google
PALMEIRA D'OESTE,SP,SAO PAULO,SP,617.6,google
PARAISO,SP,SAO PAULO,SP,398.1,google
PARIQUERA-ACU,SP,SAO PAULO,SP,228.8,google
PARANAPANEMA,SP,SAO PAULO,SP,263.7,google
PARDINHO,SP,SAO PAULO,SP,207.8,google
PARANAPUA,SP,SAO PAULO,SP,607.4,google
PATROCINIO PAULISTA,SP,SAO PAULO,SP,413.7,google
PAULINIA,SP,SAO PAULO,SP,121.8,google
PARAPUA,SP,SAO PAULO,SP,560.2,google
PAULICEIA,SP,SAO PAULO,SP,695.0,google
PAULO DE FARIA,SP,SAO PAULO,SP,529.7,google
OURO VERDE,SP,SAO PAULO,SP,664.9,google
PEDRA BELA,SP,SAO PAULO,SP,118.4,google
PEDRANOPOLIS,SP,SAO PAULO,SP,548.4,google
PEDREIRA,SP,SAO PAULO,SP,137.0,google
PEDREGULHO,SP,SAO PAULO,SP,437.4,google
PARISI,SP,SAO PAULO,SP,534.8,google
PEDRINHAS PAULISTA,SP,SAO PAULO,SP,482.4,google
PEREIRAS,SP,SAO PAULO,SP,169.5,google
PERUIBE,SP,SAO PAULO,SP,142.3,google
PEDRO DE TOLEDO,SP,SAO PAULO,SP,164.8,google
PIACATU,SP,SAO PAULO,SP,536.4,google
PEREIRA BARRETO,SP,SAO PAULO,SP,626.3,google
PAULISTANIA,SP,SAO PAULO,SP,343.9,google
PINDORAMA,SP,SAO PAULO,SP,379.1,google
PINHALZINHO,SP,SAO PAULO,SP,113.0,google
PIQUEROBI,SP,SAO PAULO,SP,604.8,google
PILAR DO SUL,SP,SAO PAULO,SP,151.4,google
PENAPOLIS,SP,SAO PAULO,SP,479.4,google
PIRACICABA,SP,SAO PAULO,SP,157.0,google
PINDAMONHANGABA,SP,SAO PAULO,SP,148.4,google
PEDERNEIRAS,SP,SAO PAULO,SP,322.9,google
PIRAJU,SP,SAO PAULO,SP,333.5,google
PIRAJUI,SP,SAO PAULO,SP,385.0,google
PIRACAIA,SP,SAO PAULO,SP,91.4,google
NOVO HORIZONTE,SP,SAO PAULO,SP,405.7,google
PIRANGI,SP,SAO PAULO,SP,382.5,google
PIRAPORA DO BOM JESUS,SP,SAO PAULO,SP,66.4,google
PIRATININGA,SP,SAO PAULO,SP,337.5,google
PLANALTO,SP,SAO PAULO,SP,511.4,google
PLATINA,SP,SAO PAULO,SP,425.1,google
PITANGUEIRAS,SP,SAO PAULO,SP,366.0,google
PIRAPOZINHO,SP,SAO PAULO,SP,564.7,google
POA,SP,SAO PAULO,SP,49.4,google
POMPEIA,SP,SAO PAULO,SP,479.9,google
PONGAI,SP,SAO PAULO,SP,416.0,google
PONTAL,SP,SAO PAULO,SP,352.1,google
POLONI,SP,SAO PAULO,SP,488.5,google
PONTES GESTAL,SP,SAO PAULO,SP,553.5,google
POPULINA,SP,SAO PAULO,SP,614.5,google
PONTALINDA,SP,SAO PAULO,SP,585.0,google
POTIRENDABA,SP,SAO PAULO,SP,437.9,google
PORANGABA,SP,SAO PAULO,SP,173.9,google
PORTO FERREIRA,SP,SAO PAULO,SP,226.5,google
PRACINHA,SP,SAO PAULO,SP,591.2,google
POTIM,SP,SAO PAULO,SP,174.0,google
PIRASSUNUNGA,SP,SAO PAULO,SP,211.8,google
PRESIDENTE ALVES,SP,SAO PAULO,SP,384.2,google
PRAIA GRANDE,SP,SAO PAULO,SP,77.6,google
PRATANIA,SP,SAO PAULO,SP,270.7,google
PRADOPOLIS,SP,SAO PAULO,SP,322.7,google
PIQUETE,SP,SAO PAULO,SP,207.7,google
PRESIDENTE PRUDENTE,SP,SAO PAULO,SP,558.1,google
PRESIDENTE BERNARDES,SP,SAO PAULO,SP,579.5,google
PROMISSAO,SP,SAO PAULO,SP,455.9,google
QUATA,SP,SAO PAULO,SP,489.4,google
PRESIDENTE EPITACIO,SP,SAO PAULO,SP,643.7,google
QUEIROZ,SP,SAO PAULO,SP,494.9,google
QUINTANA,SP,SAO PAULO,SP,493.2,google
QUADRA,SP,SAO PAULO,SP,166.9,google
REDENCAO DA SERRA,SP,SAO PAULO,SP,167.1,google
RANCHARIA,SP,SAO PAULO,SP,508.2,google
QUELUZ,SP,SAO PAULO,SP,233.6,google
RAFARD,SP,SAO PAULO,SP,143.9,google
RESTINGA,SP,SAO PAULO,SP,390.6,google
RIBEIRAO BONITO,SP,SAO PAULO,SP,264.5,google
REGISTRO,SP,SAO PAULO,SP,209.8,google
RIBEIRA,SP,SAO PAULO,SP,358.6,google
PRESIDENTE VENCESLAU,SP,SAO PAULO,SP,611.2,google
RIBEIRAO DO SUL,SP,SAO PAULO,SP,394.3,google
RIBEIRAO DOS INDIOS,SP,SAO PAULO,SP,605.8,google
RIBEIRAO GRANDE,SP,SAO PAULO,SP,242.1,google
RIBEIRAO BRANCO,SP,SAO PAULO,SP,295.4,google
RIBEIRAO PRETO,SP,SAO PAULO,SP,314.7,google
RIBEIRAO PIRES,SP,SAO PAULO,SP,49.5,google
RINCAO,SP,SAO PAULO,SP,295.3,google
PIEDADE,SP,SAO PAULO,SP,136.4,google
REGINOPOLIS,SP,SAO PAULO,SP,398.7,google
RIO CLARO,SP,SAO PAULO,SP,176.8,google
RIO DAS PEDRAS,SP,SAO PAULO,SP,167.0,google
RIO GRANDE DA SERRA,SP,SAO PAULO,SP,49.4,google
RIVERSUL,SP,SAO PAULO,SP,381.7,google
RIOLANDIA,SP,SAO PAULO,SP,580.2,google
ROSANA,SP,SAO PAULO,SP,748.7,google
ROSEIRA,SP,SAO PAULO,SP,160.7,google
RUBINEIA,SP,SAO PAULO,SP,633.6,google
SABINO,SP,SAO PAULO,SP,471.7,google
SALES,SP,SAO PAULO,SP,442.2,google
REGENTE FEIJO,SP,SAO PAULO,SP,545.9,google
SALESOPOLIS,SP,SAO PAULO,SP,119.2,google
RIFAINA,SP,SAO PAULO,SP,465.3,google
SALMOURAO,SP,SAO PAULO,SP,588.7,google
RINOPOLIS,SP,SAO PAULO,SP,549.5,google
SALTINHO,SP,SAO PAULO,SP,174.9,google
SALTO GRANDE,SP,SAO PAULO,SP,384.0,google
SALTO DE PIRAPORA,SP,SAO PAULO,SP,124.4,google
SANDOVALINA,SP,SAO PAULO,SP,604.1,google
SANTA ALBERTINA,SP,SAO PAULO,SP,616.8,google
PORTO FELIZ,SP,SAO PAULO,SP,119.6,google
SANTA ADELIA,SP,SAO PAULO,SP,372.3,google
RUBIACEA,SP,SAO PAULO,SP,558.6,google
SAGRES,SP,SAO PAULO,SP,594.9,google
SANTA CLARA D'OESTE,SP,SAO PAULO,SP,639.6,google
SALES OLIVEIRA,SP,SAO PAULO,SP,364.1,google
SANTA BARBARA D'OESTE,SP,SAO PAULO,SP,138.5,google
SANTA CRUZ DA ESPERANCA,SP,SAO PAULO,SP,314.2,google
SANTA CRUZ DO RIO PARDO,SP,SAO PAULO,SP,345.1,google
SANTA GERTRUDES,SP,SAO PAULO,SP,168.7,google
SANTA CRUZ DA CONCEICAO,SP,SAO PAULO,SP,198.6,google
SANTA CRUZ DAS PALMEIRAS,SP,SAO PAULO,SP,245.6,google
SANTA ISABEL,SP,SAO PAULO,SP,60.2,google
SANTA LUCIA,SP,SAO PAULO,SP,293.6,google
SANTA ERNESTINA,SP,SAO PAULO,SP,326.2,google
SANTA MERCEDES,SP,SAO PAULO,SP,684.6,google
SANTA RITA D'OESTE,SP,SAO PAULO,SP,619.5,google
SANTA RITA DO PASSA QUATRO,SP,SAO PAULO,SP,253.5,google
SANTA ROSA DE VITERBO,SP,SAO PAULO,SP,289.0,google
SANTA FE DO SUL,SP,SAO PAULO,SP,627.4,google
SANTA MARIA DA SERRA,SP,SAO PAULO,SP,216.9,google
SANTA BRANCA,SP,SAO PAULO,SP,97.2,google
SANTA SALETE,SP,SAO PAULO,SP,602.8,google
SANTANA DE PARNAIBA,SP,SAO PAULO,SP,41.9,google
SANTO ANASTACIO,SP,SAO PAULO,SP,588.4,google
SANTO ANDRE,SP,SAO PAULO,SP,26.2,google
SANTO ANTONIO DA ALEGRIA,SP,SAO PAULO,SP,320.6,google
SANTO ANTONIO DO ARACANGUA,SP,SAO PAULO,SP,558.6,google
SANTANA DA PONTE PENSA,SP,SAO PAULO,SP,614.8,google
SANTO ANTONIO DO PINHAL,SP,SAO PAULO,SP,172.6,google
SANTO EXPEDITO,SP,SAO PAULO,SP,599.2,google
SANTOPOLIS DO AGUAPEI,SP,SAO PAULO,SP,524.3,google
SANTO ANTONIO DO JARDIM,SP,SAO PAULO,SP,201.9,google
SANTO ANTONIO DE POSSE,SP,SAO PAULO,SP,139.3,google
SAO CAETANO DO SUL,SP,SAO PAULO,SP,12.7,google
SAO FRANCISCO,SP,SAO PAULO,SP,607.2,google
SAO CARLOS,SP,SAO PAULO,SP,234.0,google
SANTOS,SP,SAO PAULO,SP,81.3,google
SAO BENTO DO SAPUCAI,SP,SAO PAULO,SP,172.1,google
SAO BERNARDO DO CAMPO,SP,SAO PAULO,SP,22.8,google
SAO JOAO DE IRACEMA,SP,SAO PAULO,SP,564.4,google
SAO JOAQUIM DA BARRA,SP,SAO PAULO,SP,382.8,google
SAO JOAO DAS DUAS PONTES,SP,SAO PAULO,SP,583.9,google
SAO JOSE DO BARREIRO,SP,SAO PAULO,SP,269.1,google
SAO JOSE DO RIO PRETO,SP,SAO PAULO,SP,439.7,google
SAO JOSE DA BELA VISTA,SP,SAO PAULO,SP,394.2,google
SAO JOAO DO PAU D'ALHO,SP,SAO PAULO,SP,705.5,google
SAO MANUEL,SP,SAO PAULO,SP,260.8,google
SAO LOURENCO DA SERRA,SP,SAO PAULO,SP,69.3,google
SAO LUIZ DO PARAITINGA,SP,SAO PAULO,SP,176.4,google
SAO PAULO,SP,SAO PAULO,SP,0.0,google
SAO PEDRO,SP,SAO PAULO,SP,192.0,google
SAO PEDRO DO TURVO,SP,SAO PAULO,SP,362.8,google
SAO ROQUE,SP,SAO PAULO,SP,69.9,google
SAO MIGUEL ARCANJO,SP,SAO PAULO,SP,183.7,google
SAO SEBASTIAO,SP,SAO PAULO,SP,196.8,google
SAO JOAO DA BOA VISTA,SP,SAO PAULO,SP,216.5,google
SARUTAIA,SP,SAO PAULO,SP,346.9,google
SAO VICENTE,SP,SAO PAULO,SP,73.0,google
SEBASTIANOPOLIS DO SUL,SP,SAO PAULO,SP,506.0,google
SAO SEBASTIAO DA GRAMA,SP,SAO PAULO,SP,249.0,google
SERRA AZUL,SP,SAO PAULO,SP,301.1,google
SERRANA,SP,SAO PAULO,SP,314.7,google
SERTAOZINHO,SP,SAO PAULO,SP,335.5,google
SERRA NEGRA,SP,SAO PAULO,SP,153.7,google
SILVEIRAS,SP,SAO PAULO,SP,222.2,google
SAO JOSE DO RIO PARDO,SP,SAO PAULO,SP,253.6,google
SOROCABA,SP,SAO PAULO,SP,103.6,google
RIBEIRAO CORRENTE,SP,SAO PAULO,SP,428.3,google
SOCORRO,SP,SAO PAULO,SP,133.6,google
SUD MENNUCCI,SP,SAO PAULO,SP,613.9,google
SUMARE,SP,SAO PAULO,SP,119.2,google
SUZANO,SP,SAO PAULO,SP,51.5,google
SEVERINIA,SP,SAO PAULO,SP,420.4,google
SAO JOSE DOS CAMPOS,SP,SAO PAULO,SP,92.4,google
SAO SIMAO,SP,SAO PAULO,SP,280.5,google
TAIACU,SP,SAO PAULO,SP,371.8,google
TABOAO DA SERRA,SP,SAO PAULO,SP,18.9,google
TACIBA,SP,SAO PAULO,SP,543.6,google
TAGUAI,SP,SAO PAULO,SP,347.5,google
TAIUVA,SP,SAO PAULO,SP,363.7,google
TAMBAU,SP,SAO PAULO,SP,257.3,google
SUZANAPOLIS,SP,SAO PAULO,SP,629.2,google
TABAPUA,SP,SAO PAULO,SP,410.4,google
SETE BARRAS,SP,SAO PAULO,SP,217.5,google
TANABI,SP,SAO PAULO,SP,479.5,google
TAPIRATIBA,SP,SAO PAULO,SP,276.7,google
SARAPUI,SP,SAO PAULO,SP,157.2,google
TABATINGA,SP,SAO PAULO,SP,332.9,google
TAQUARITUBA,SP,SAO PAULO,SP,327.5,google
TAQUARITINGA,SP,SAO PAULO,SP,336.3,google
TAQUARIVAI,SP,SAO PAULO,SP,269.0,google
TARABAI,SP,SAO PAULO,SP,573.2,google
TARUMA,SP,SAO PAULO,SP,456.0,google
TAUBATE,SP,SAO PAULO,SP,131.2,google
TAQUARAL,SP,SAO PAULO,SP,363.9,google
TEJUPA,SP,SAO PAULO,SP,350.4,google
TEODORO SAMPAIO,SP,SAO PAULO,SP,654.1,google
TIETE,SP,SAO PAULO,SP,147.2,google
TIMBURI,SP,SAO PAULO,SP,363.7,google
TATUI,SP,SAO PAULO,SP,142.5,google
TORRE DE PEDRA,SP,SAO PAULO,SP,175.3,google
TRABIJU,SP,SAO PAULO,SP,282.6,google
TORRINHA,SP,SAO PAULO,SP,260.2,google
TRES FRONTEIRAS,SP,SAO PAULO,SP,622.4,google
TUPA,SP,SAO PAULO,SP,522.9,google
TURIUBA,SP,SAO PAULO,SP,545.0,google
TUPI PAULISTA,SP,SAO PAULO,SP,672.1,google
TURMALINA,SP,SAO PAULO,SP,599.6,google
UBIRAJARA,SP,SAO PAULO,SP,400.9,google
UBATUBA,SP,SAO PAULO,SP,227.2,google
UNIAO PAULISTA,SP,SAO PAULO,SP,504.0,google
TUIUTI,SP,SAO PAULO,SP,112.1,google
TAPIRAI,SP,SAO PAULO,SP,167.0,google
SALTO,SP,SAO PAULO,SP,104.0,google
URU,SP,SAO PAULO,SP,418.5,google
UCHOA,SP,SAO PAULO,SP,417.2,google
VARGEM,SP,SAO PAULO,SP,97.8,google
UBARANA,SP,SAO PAULO,SP,476.2,google
TERRA ROXA,SP,SAO PAULO,SP,407.7,google
VALINHOS,SP,SAO PAULO,SP,87.5,google
VALPARAISO,SP,SAO PAULO,SP,565.1,google
VARGEM GRANDE DO SUL,SP,SAO PAULO,SP,234.4,google
VARGEM GRANDE PAULISTA,SP,SAO PAULO,SP,46.6,google
TREMEMBE,SP,SAO PAULO,SP,148.6,google
VISTA ALEGRE DO ALTO,SP,SAO PAULO,SP,371.9,google
VARZEA PAULISTA,SP,SAO PAULO,SP,58.9,google
VITORIA BRASIL,SP,SAO PAULO,SP,590.2,google
VIRADOURO,SP,SAO PAULO,SP,383.6,google
VERA CRUZ,SP,SAO PAULO,SP,431.2,google
ZACARIAS,SP,SAO PAULO,SP,524.8,google
VOTORANTIM,SP,SAO PAULO,SP,105.1,google
VOTUPORANGA,SP,SAO PAULO,SP,521.1,google
URUPES,SP,SAO PAULO,SP,420.6,google
VINHEDO,SP,SAO PAULO,SP,78.8,google
VALENTIM GENTIL,SP,SAO PAULO,SP,535.8,google
URANIA,SP,SAO PAULO,SP,595.3,google
WENCESLAU BRAZ,MG,RIO DE JANEIRO,RJ,300.829,google
SAO PAULO,SP,CONTAGEM,MG,574.287,google
SAO PAULO,SP,UBERLANDIA,MG,590.537,google
BELO HORIZONTE,MG,BELO HORIZONTE,MG,0.0,google
CONSELHEIRO LAFAIETE,MG,RIO DE JANEIRO,RJ,344.267,google
PRATA,MG,SAO PAULO,SP,585.627,google
SAO JOSE,SC,MOGI DAS CRUZES,SP,750.209,google
JUIZ DE FORA,MG,RIO DE JANEIRO,RJ,184.732,google
ALVORADA,RS,SAO PAULO,SP,1133.76,google
CONSELHEIRO LAFAIETE,MG,CONSELHEIRO LAFAIETE,MG,0.0,google
SAO PAULO,SP,BIRIGUI,SP,511.113,google
IGARAPE,MG,SAO JOAO DEL REI,MG,195.567,google
FORMIGA,MG,RIO DE JANEIRO,RJ,546.623,google
UMUARAMA,PR,SAO PAULO,SP,793.169,google
UBERABA,MG,UBERLANDIA,MG,107.671,google
BELO HORIZONTE,MG,ANDRADAS,MG,482.476,google
JUIZ DE FORA,MG,JUIZ DE FORA,MG,0.0,google
CATAGUASES,MG,RIO DE JANEIRO,RJ,258.423,google
BELO HORIZONTE,MG,CACAPAVA,SP,529.884,google
BETIM,MG,BUENOPOLIS,MG,287.438,google
MURIAE,MG,RIO DE JANEIRO,RJ,300.868,google
OURO BRANCO,MG,RIO DE JANEIRO,RJ,368.697,google
UBERABA,MG,SUZANO,SP,525.1,google
UBERLANDIA,MG,SAO PAULO,SP,587.469,google
MATINHOS,PR,SAO PAULO,SP,468.923,google
PORECATU,PR,SAO PAULO,SP,554.045,google
CARLOPOLIS,PR,SAO PAULO,SP,389.429,google
BETIM,MG,CARRANCAS,MG,249.04,google
ITURAMA,MG,UBERLANDIA,MG,246.234,google
GENERAL CARNEIRO,PR,SAO PAULO,SP,691.203,google
TRES MARIAS,MG,BELO HORIZONTE,MG,272.384,google
IBIRITE,MG,CACAPAVA,SP,519.717,google
UBERLANDIA,MG,GOIANIA,GO,338.678,google
BETIM,MG,TIMOTEO,MG,264.918,google
ITABIRITO,MG,RIO DE JANEIRO,RJ,405.857,google
LAVRAS,MG,RIO DE JANEIRO,RJ,430.175,google
FRUTAL,MG,UBERLANDIA,MG,185.007,google
MONTES CLAROS,MG,BELO HORIZONTE,MG,425.261,google
PALHOCA,SC,GASPAR,SC,135.624,google
GUAXUPE,MG,RIO DE JANEIRO,RJ,563.523,google
CURITIBA,PR,SAO PAULO,SP,415.685,google
BORDA DA MATA,MG,RIO DE JANEIRO,RJ,406.699,google
BELO HORIZONTE,MG,RIBEIRAO DAS NEVES,MG,33.078,google
BARBACENA,MG,RIO DE JANEIRO,RJ,276.685,google
BETIM,MG,SAO JOAO DEL REI,MG,212.172,google
TRES CORACOES,MG,RIO DE JANEIRO,RJ,361.825,google
SAO BERNARDO DO CAMPO,SP,GOIANIA,GO,924.534,google
RIBEIRAO DAS NEVES,MG,BELO HORIZONTE,MG,38.661,google
UBERLANDIA,MG,SUZANO,SP,630.424,google
SAO JOSE,SC,SAO PAULO,SP,696.654,google
POCOS DE CALDAS,MG,SAO PAULO,SP,257.929,google
MARIANA,MG,RIO DE JANEIRO,RJ,412.999,google
PATROCINIO,MG,UBERLANDIA,MG,150.193,google
IGARAPE,MG,NOVA SERRANA,MG,107.688,google
SAO PAULO,SP,POUSO ALEGRE,MG,213.155,google
SARZEDO,MG,CACAPAVA,SP,510.18,google
ICARA,SC,SAO PAULO,SP,875.092,google
CAMPESTRE,MG,RIO DE JANEIRO,RJ,499.513,google
UBERLANDIA,MG,UBERLANDIA,MG,0.0,google
MATEUS LEME,MG,CACAPAVA,SP,509.434,google
SAO PAULO,SP,MIRASSOL,SP,453.693,google
IGARAPE,MG,BELO VALE,MG,82.201,google
GRAVATAI,RS,MOGI DAS CRUZES,SP,1173.101,google
SAO PAULO,SP,UBERABA,MG,482.533,google
TAUBATE,SP,SAO BERNARDO DO CAMPO,SP,159.688,google
CURVELO,MG,CACAPAVA,SP,667.493,google
TELEMACO BORBA,PR,SAO PAULO,SP,595.86,google
GRAVATAI,RS,UBERLANDIA,MG,1674.187,google
UBA,MG,RIO DE JANEIRO,RJ,309.346,google
BETIM,MG,IPATINGA,MG,241.447,google
CAXAMBU,MG,SUZANO,SP,290.088,google
MOEDA,MG,CACAPAVA,SP,495.807,google
CAMPO BELO,MG,RIO DE JANEIRO,RJ,491.402,google
CARMO DO CAJURU,MG,RIO DE JANEIRO,RJ,532.215,google
CLAUDIO,MG,BELO HORIZONTE,MG,139.855,google
RIO DE JANEIRO,RJ,BURITIZEIRO,MG,786.192,google
BONFINOPOLIS DE MINAS,MG,RIO DE JANEIRO,RJ,985.155,google
BICAS,MG,MESQUITA,RJ,209.626,google
SAO FRANCISCO,MG,RIO DE JANEIRO,RJ,1002.314,google
CACAPAVA,SP,OURO PRETO,MG,513.773,google
BETIM,MG,ABAETE,MG,180.649,google
TUBARAO,SC,OSASCO,SP,804.918,google
VILA VELHA,ES,GUARULHOS,SP,918.804,google
ENGENHEIRO CALDAS,MG,SAO PAULO,SP,870.743,google
CARANGOLA,MG,RIO DE JANEIRO,RJ,383.557,google
SAO PAULO,SP,TELEMACO BORBA,PR,594.532,google
GUARACIABA,MG,RIO DE JANEIRO,RJ,418.623,google
GUARANESIA,MG,SAO PAULO,SP,299.704,google
ESMERALDAS,MG,RIO DE JANEIRO,RJ,489.134,google
BETIM,MG,ALFENAS,MG,313.186,google
RIO DO SUL,SC,SAO JOSE DOS PINHAIS,PR,280.175,google
MATOZINHOS,MG,BELO HORIZONTE,MG,48.473,google
SETE LAGOAS,MG,BELO HORIZONTE,MG,78.651,google
RIO DE JANEIRO,RJ,ITABIRA,MG,550.336,google
VILA VELHA,ES,SAO PAULO,SP,934.151,google
TEIXEIRAS,MG,RIO DE JANEIRO,RJ,381.009,google
MATIAS BARBOSA,MG,BELO HORIZONTE,MG,279.571,google
BETIM,MG,AGUAS FORMOSAS,MG,622.491,google
JUNDIAI,SP,UBERLANDIA,MG,534.431,google
RIO DE JANEIRO,RJ,TUPACIGUARA,MG,1060.065,google
SANTA LUZIA,MA,BELO HORIZONTE,MG,2321.833,google
TIJUCAS,SC,SAO PAULO,SP,654.078,google
IGARAPE,MG,MANHUACU,MG,325.317,google
UBERLANDIA,MG,POCOS DE CALDAS,MG,473.334,google
PRADOS,MG,RIO DE JANEIRO,RJ,327.34,google
ITABIRA,MG,BELO HORIZONTE,MG,106.746,google
CAPITOLIO,MG,RIO DE JANEIRO,RJ,634.811,google
BARBACENA,MG,SAO PAULO,SP,527.154,google
GALILEIA,MG,RIO DE JANEIRO,RJ,661.171,google
JACUI,MG,RIO DE JANEIRO,RJ,602.675,google
CLAUDIO,MG,RIO DE JANEIRO,RJ,477.243,google
RIO DE JANEIRO,RJ,PRATAPOLIS,MG,751.938,google
MATIAS BARBOSA,MG,RIO DE JANEIRO,RJ,167.014,google
PIRAPORA,MG,BELO HORIZONTE,MG,349.571,google
LAJEADO,RS,SOROCABA,SP,1201.539,google
BELO HORIZONTE,MG,CAMPOS GERAIS,MG,307.76,google
JURUAIA,MG,RIO DE JANEIRO,RJ,559.714,google
BICAS,MG,RIO DE JANEIRO,RJ,211.886,google
SAO GOTARDO,MG,BELO HORIZONTE,MG,306.292,google
BETIM,MG,GUARULHOS,SP,539.838,google
BETIM,MG,PASSOS,MG,316.062,google
FLORESTAL,MG,SAO PAULO,SP,584.295,google
CAMANDUCAIA,MG,RIO DE JANEIRO,RJ,501.289,google
SAO PAULO,SP,TATUI,SP,142.326,google
IGARAPE,MG,SANTA LUZIA,MG,62.28,google
PITANGUI,MG,RIO DE JANEIRO,RJ,554.504,google
MEDINA,MG,RIO DE JANEIRO,RJ,932.731,google
RIBEIRAO DAS NEVES,MG,SUZANO,SP,620.62,google
ITABIRITO,MG,CACAPAVA,SP,577.93,google
ANDRADAS,MG,GUARULHOS,SP,227.235,google
PORTO XAVIER,RS,SAO PAULO,SP,1322.687,google
ALFENAS,MG,GUARULHOS,SP,300.845,google
SAO JOAO NEPOMUCENO,MG,RIO DE JANEIRO,RJ,239.344,google
BOA ESPERANCA,MG,SAO PAULO,SP,379.924,google
CABEDELO,PB,SAO PAULO,SP,2781.71,google
GONCALVES,MG,SAO PAULO,SP,190.404,google
SAO GONCALO DO RIO ABAIXO,MG,BELO HORIZONTE,MG,86.602,google
SAO JOSE DO ALEGRE,MG,RIO DE JANEIRO,RJ,335.869,google
SANTANA DO ITARARE,PR,SAO PAULO,SP,383.177,google
PALMA,MG,RIO DE JANEIRO,RJ,285.794,google
BETIM,MG,ALMENARA,MG,790.577,google
LAURO DE FREITAS,BA,SANTO ANDRE,SP,2011.333,google
LONDRINA,PR,SAO BERNARDO DO CAMPO,SP,551.835,google
PEDRO LEOPOLDO,MG,RIO DE JANEIRO,RJ,485.365,google
SAO JOSE DOS PINHAIS,PR,SAO BERNARDO DO CAMPO,SP,444.092,google
NAVEGANTES,SC,SAO PAULO,SP,610.56,google
FORMIGA,MG,GUARULHOS,SP,446.733,google
ITAOBIM,MG,SUZANO,SP,1256.292,google
ARCEBURGO,MG,RIO DE JANEIRO,RJ,669.532,google
SAO ROQUE DE MINAS,MG,RIO DE JANEIRO,RJ,676.062,google
CARATINGA,MG,RIO DE JANEIRO,RJ,475.102,google
BOM JESUS DO AMPARO,MG,BELO HORIZONTE,MG,72.461,google
COQUEIRAL,MG,RIO DE JANEIRO,RJ,457.579,google
BETIM,MG,FORMIGA,MG,165.017,google
PIRAPORA,MG,RIO DE JANEIRO,RJ,776.973,google
DATAS,MG,RIO DE JANEIRO,RJ,700.62,google
NOVA LIMA,MG,SUZANO,SP,629.351,google
DIVINOPOLIS,MG,GUARULHOS,SP,496.802,google
GUARULHOS,SP,NATERCIA,MG,249.433,google
MATOZINHOS,MG,RIO DE JANEIRO,RJ,492.97,google
BETIM,MG,SUZANO,SP,581.136,google
SOROCABA,SP,FORTALEZA,CE,2988.313,google
OURO BRANCO,MG,CACAPAVA,SP,482.528,google
PRATA,MG,RIO DE JANEIRO,RJ,987.513,google
SERRA DO SALITRE,MG,SAO PAULO,SP,644.529,google
BALNEARIO CAMBORIU,SC,SAO PAULO,SP,624.87,google
COTIA,SP,BALNEARIO CAMBORIU,SC,606.159,google
ITAJUBA,MG,BELO HORIZONTE,MG,443.884,google
PINHAIS,PR,SAO PAULO,SP,410.207,google
CAMBUI,MG,RIO DE JANEIRO,RJ,421.106,google
SANTA MARIA DO OESTE,PR,SAO PAULO,SP,793.722,google
MONTES CLAROS,MG,MONTES CLAROS,MG,0.0,google
TUPACIGUARA,MG,BELO HORIZONTE,MG,605.685,google
RECIFE,PE,BELO HORIZONTE,MG,2106.227,google
JUATUBA,MG,RIO DE JANEIRO,RJ,479.616,google
IGUATAMA,MG,RIO DE JANEIRO,RJ,590.523,google
FORMIGA,MG,SAO PAULO,SP,461.455,google
IGARAPE,MG,BOM JESUS DO ITABAPOANA,RJ,440.328,google
RIO DE JANEIRO,RJ,SANTA LUZIA,MG,462.059,google
BELO HORIZONTE,MG,PATROCINIO,MG,411.907,google
VARZEA DA PALMA,MG,CACAPAVA,SP,809.44,google
TIMOTEO,MG,GUARULHOS,SP,766.677,google
TIROS,MG,SAO PAULO,SP,743.944,google
MANHUACU,MG,BELO HORIZONTE,MG,282.68,google
SAO PAULO,SP,JANDIRA,SP,38.796,google
BETIM,MG,ARAGUARI,MG,528.112,google
CACAPAVA,SP,ARAGUAINA,TO,2124.095,google
TEOFILO OTONI,MG,TEOFILO OTONI,MG,0.0,google
SAO PAULO,SP,SAO JOSE DOS PINHAIS,PR,413.446,google
PATROCINIO,MG,RIO DE JANEIRO,RJ,849.015,google
RIO DE JANEIRO,RJ,ALTO RIO DOCE,MG,326.193,google
BURITIZEIRO,MG,RIO DE JANEIRO,RJ,782.49,google
CAPELINHA,MG,RIO DE JANEIRO,RJ,968.576,google
CAXAMBU,MG,BELO HORIZONTE,MG,376.063,google
PIRAPORA,MG,UBERLANDIA,MG,460.679,google
RIO DE JANEIRO,RJ,RIBEIRAO VERMELHO,MG,438.44,google
VAZANTE,MG,SAO PAULO,SP,788.635,google
MUZAMBINHO,MG,RIO DE JANEIRO,RJ,540.8,google
BETIM,MG,EXTREMA,MG,446.169,google
SAPUCAI-MIRIM,MG,RIO DE JANEIRO,RJ,348.564,google
SAO LOURENCO,MG,SAO PAULO,SP,287.355,google
GOVERNADOR VALADARES,MG,GUARULHOS,SP,879.39,google
BELO HORIZONTE,MG,CONTAGEM,MG,14.198,google
SAO PAULO,SP,MARINGA,PR,647.61,google
CURVELO,MG,SAO PAULO,SP,721.502,google
EXTREMA,MG,SAO PAULO,SP,109.555,google
SANTA LUZIA,MG,GUARULHOS,SP,584.796,google
