ROTA,origem,destino,distancia_km,distancia_texto
CABEDELO/PB:SÃO PAULO/SP,CABEDELO/PB,SÃO PAULO/SP,2781.71,2.782 km
ÁGUAS FORMOSAS/MG:BETIM/MG,ÁGUAS FORMOSAS/MG,BETIM/MG,618.424,618 km
GONÇALVES/MG:SÃO PAULO/SP,GONÇALVES/MG,SÃO PAULO/SP,190.404,190 km
BOA ESPERANÇA/MG:BETIM/MG,BOA ESPERANÇA/MG,BETIM/MG,245.609,246 km
SÃO GONÇALO DO RIO ABAIXO/MG:BELO HORIZONTE/MG,SÃO GONÇALO DO RIO ABAIXO/MG,BELO HORIZONTE/MG,86.602,"86,6 km"
JOSÉ BONIFÁCIO/SP:SÃO PAULO/SP,JOSÉ BONIFÁCIO/SP,SÃO PAULO/SP,480.996,481 km
SÃO JOSÉ DO ALEGRE/MG:RIO DE JANEIRO/RJ,SÃO JOSÉ DO ALEGRE/MG,RIO DE JANEIRO/RJ,335.869,336 km
SANTANA DO ITARARÉ/PR:SÃO PAULO/SP,SANTANA DO ITARARÉ/PR,SÃO PAULO/SP,383.177,383 km
GUAPIARA/SP:SÃO PAULO/SP,GUAPIARA/SP,SÃO PAULO/SP,265.253,265 km
PALMA/MG:RIO DE JANEIRO/RJ,PALMA/MG,RIO DE JANEIRO/RJ,285.794,286 km
BETIM/MG:ALMENARA/MG,BETIM/MG,ALMENARA/MG,790.577,791 km
LAURO DE FREITAS/BA:SANTO ANDRÉ/SP,LAURO DE FREITAS/BA,SANTO ANDRÉ/SP,2011.333,2.011 km
LONDRINA/PR:SÃO BERNARDO DO CAMPO/SP,LONDRINA/PR,SÃO BERNARDO DO CAMPO/SP,551.835,552 km
MAIRINQUE/SP:SÃO PAULO/SP,MAIRINQUE/SP,SÃO PAULO/SP,75.643,"75,6 km"
PEDRO LEOPOLDO/MG:RIO DE JANEIRO/RJ,PEDRO LEOPOLDO/MG,RIO DE JANEIRO/RJ,485.365,485 km
SÃO JOSÉ DOS PINHAIS/PR:SÃO BERNARDO DO CAMPO/SP,SÃO JOSÉ DOS PINHAIS/PR,SÃO BERNARDO DO CAMPO/SP,444.092,444 km
NAVEGANTES/SC:SÃO PAULO/SP,NAVEGANTES/SC,SÃO PAULO/SP,610.56,611 km
POCRANE/MG:BETIM/MG,POCRANE/MG,BETIM/MG,430.624,431 km
FORMIGA/MG:GUARULHOS/SP,FORMIGA/MG,GUARULHOS/SP,446.733,447 km
ITAOBIM/MG:SUZANO/SP,ITAOBIM/MG,SUZANO/SP,1256.292,1.256 km
ARCEBURGO/MG:RIO DE JANEIRO/RJ,ARCEBURGO/MG,RIO DE JANEIRO/RJ,669.532,670 km
SÃO ROQUE DE MINAS/MG:RIO DE JANEIRO/RJ,SÃO ROQUE DE MINAS/MG,RIO DE JANEIRO/RJ,676.062,676 km
CARATINGA/MG:RIO DE JANEIRO/RJ,CARATINGA/MG,RIO DE JANEIRO/RJ,475.102,475 km
BOM JESUS DO AMPARO/MG:BELO HORIZONTE/MG,BOM JESUS DO AMPARO/MG,BELO HORIZONTE/MG,72.461,"72,5 km"
COQUEIRAL/MG:RIO DE JANEIRO/RJ,COQUEIRAL/MG,RIO DE JANEIRO/RJ,457.579,458 km
BETIM/MG:FORMIGA/MG,BETIM/MG,FORMIGA/MG,165.017,165 km
CONGONHAS/MG:BETIM/MG,CONGONHAS/MG,BETIM/MG,101.99,102 km
SÃO GONÇALO DO RIO ABAIXO/MG:IGARAPÉ/MG,SÃO GONÇALO DO RIO ABAIXO/MG,IGARAPÉ/MG,129.046,129 km
PIRAPORA/MG:RIO DE JANEIRO/RJ,PIRAPORA/MG,RIO DE JANEIRO/RJ,776.973,777 km
DATAS/MG:RIO DE JANEIRO/RJ,DATAS/MG,RIO DE JANEIRO/RJ,700.62,701 km
NOVA LIMA/MG:SUZANO/SP,NOVA LIMA/MG,SUZANO/SP,629.351,629 km
DIVINÓPOLIS/MG:GUARULHOS/SP,DIVINÓPOLIS/MG,GUARULHOS/SP,496.802,497 km
GUARULHOS/SP:NATÉRCIA/MG,GUARULHOS/SP,NATÉRCIA/MG,249.433,249 km
MATOZINHOS/MG:RIO DE JANEIRO/RJ,MATOZINHOS/MG,RIO DE JANEIRO/RJ,492.97,493 km
BETIM/MG:SUZANO/SP,BETIM/MG,SUZANO/SP,581.136,581 km
SOROCABA/SP:FORTALEZA/CE,SOROCABA/SP,FORTALEZA/CE,2988.313,2.988 km
OURO BRANCO/MG:CAÇAPAVA/SP,OURO BRANCO/MG,CAÇAPAVA/SP,482.528,483 km
PRATA/MG:RIO DE JANEIRO/RJ,PRATA/MG,RIO DE JANEIRO/RJ,987.513,988 km
SERRA DO SALITRE/MG:SÃO PAULO/SP,SERRA DO SALITRE/MG,SÃO PAULO/SP,644.529,645 km
BALNEÁRIO CAMBORIÚ/SC:SÃO PAULO/SP,BALNEÁRIO CAMBORIÚ/SC,SÃO PAULO/SP,624.87,625 km
COTIA/SP:BALNEÁRIO CAMBORIÚ/SC,COTIA/SP,BALNEÁRIO CAMBORIÚ/SC,606.159,606 km
ITAJUBÁ/MG:BELO HORIZONTE/MG,ITAJUBÁ/MG,BELO HORIZONTE/MG,443.884,444 km
MORADA NOVA DE MINAS/MG:BETIM/MG,MORADA NOVA DE MINAS/MG,BETIM/MG,266.415,266 km
PINHAIS/PR:SÃO PAULO/SP,PINHAIS/PR,SÃO PAULO/SP,410.207,410 km
BURI/SP:SÃO PAULO/SP,BURI/SP,SÃO PAULO/SP,266.473,266 km
AIMORÉS/MG:BETIM/MG,AIMORÉS/MG,BETIM/MG,501.662,502 km
CAMBUÍ/MG:RIO DE JANEIRO/RJ,CAMBUÍ/MG,RIO DE JANEIRO/RJ,421.106,421 km
SANTA MARIA DO OESTE/PR:SÃO PAULO/SP,SANTA MARIA DO OESTE/PR,SÃO PAULO/SP,793.722,794 km
MONTES CLAROS/MG:MONTES CLAROS/MG,MONTES CLAROS/MG,MONTES CLAROS/MG,0.0,1 m
TUPACIGUARA/MG:BELO HORIZONTE/MG,TUPACIGUARA/MG,BELO HORIZONTE/MG,605.685,606 km
RECIFE/PE:BELO HORIZONTE/MG,RECIFE/PE,BELO HORIZONTE/MG,2106.227,2.106 km
ARARAS/SP:SÃO PAULO/SP,ARARAS/SP,SÃO PAULO/SP,171.622,172 km
JUATUBA/MG:RIO DE JANEIRO/RJ,JUATUBA/MG,RIO DE JANEIRO/RJ,479.616,480 km
IGUATAMA/MG:RIO DE JANEIRO/RJ,IGUATAMA/MG,RIO DE JANEIRO/RJ,590.523,591 km
FORMIGA/MG:SÃO PAULO/SP,FORMIGA/MG,SÃO PAULO/SP,461.455,461 km
IGARAPÉ/MG:BOM JESUS DO ITABAPOANA/RJ,IGARAPÉ/MG,BOM JESUS DO ITABAPOANA/RJ,440.328,440 km
RIO DE JANEIRO/RJ:SANTA LUZIA/MG,RIO DE JANEIRO/RJ,SANTA LUZIA/MG,462.059,462 km
BELO HORIZONTE/MG:PATROCÍNIO/MG,BELO HORIZONTE/MG,PATROCÍNIO/MG,411.907,412 km
VÁRZEA DA PALMA/MG:CAÇAPAVA/SP,VÁRZEA DA PALMA/MG,CAÇAPAVA/SP,809.44,809 km
TIMÓTEO/MG:GUARULHOS/SP,TIMÓTEO/MG,GUARULHOS/SP,766.677,767 km
TIROS/MG:SÃO PAULO/SP,TIROS/MG,SÃO PAULO/SP,743.944,744 km
MANHUAÇU/MG:BELO HORIZONTE/MG,MANHUAÇU/MG,BELO HORIZONTE/MG,282.68,283 km
SÃO PAULO/SP:JANDIRA/SP,SÃO PAULO/SP,JANDIRA/SP,38.796,"38,8 km"
GUARAREMA/SP:SÃO PAULO/SP,GUARAREMA/SP,SÃO PAULO/SP,81.604,"81,6 km"
BETIM/MG:ARAGUARI/MG,BETIM/MG,ARAGUARI/MG,528.112,528 km
CAÇAPAVA/SP:ARAGUAÍNA/TO,CAÇAPAVA/SP,ARAGUAÍNA/TO,2124.095,2.124 km
TEÓFILO OTONI/MG:TEÓFILO OTONI/MG,TEÓFILO OTONI/MG,TEÓFILO OTONI/MG,0.0,1 m
JEQUITAÍ/MG:IGARAPÉ/MG,JEQUITAÍ/MG,IGARAPÉ/MG,431.934,432 km
SÃO PAULO/SP:SÃO JOSÉ DOS PINHAIS/PR,SÃO PAULO/SP,SÃO JOSÉ DOS PINHAIS/PR,413.446,413 km
PATROCÍNIO/MG:RIO DE JANEIRO/RJ,PATROCÍNIO/MG,RIO DE JANEIRO/RJ,849.015,849 km
RIO DE JANEIRO/RJ:ALTO RIO DOCE/MG,RIO DE JANEIRO/RJ,ALTO RIO DOCE/MG,326.193,326 km
JANAÚBA/MG:IGARAPÉ/MG,JANAÚBA/MG,IGARAPÉ/MG,574.381,574 km
BURITIZEIRO/MG:RIO DE JANEIRO/RJ,BURITIZEIRO/MG,RIO DE JANEIRO/RJ,782.49,782 km
SÃO GONÇALO DO ABAETÉ/MG:BETIM/MG,SÃO GONÇALO DO ABAETÉ/MG,BETIM/MG,383.711,384 km
IGARAÇU DO TIETÊ/SP:SÃO PAULO/SP,IGARAÇU DO TIETÊ/SP,SÃO PAULO/SP,288.588,289 km
CAPELINHA/MG:RIO DE JANEIRO/RJ,CAPELINHA/MG,RIO DE JANEIRO/RJ,968.576,969 km
CAXAMBU/MG:BELO HORIZONTE/MG,CAXAMBU/MG,BELO HORIZONTE/MG,376.063,376 km
PRESIDENTE BERNARDES/SP:SÃO PAULO/SP,PRESIDENTE BERNARDES/SP,SÃO PAULO/SP,579.54,580 km
DIVINÓPOLIS/MG:BETIM/MG,DIVINÓPOLIS/MG,BETIM/MG,87.564,"87,6 km"
PIRAPORA/MG:UBERLÂNDIA/MG,PIRAPORA/MG,UBERLÂNDIA/MG,460.679,461 km
RIO DE JANEIRO/RJ:RIBEIRÃO VERMELHO/MG,RIO DE JANEIRO/RJ,RIBEIRÃO VERMELHO/MG,438.44,438 km
VAZANTE/MG:SÃO PAULO/SP,VAZANTE/MG,SÃO PAULO/SP,788.635,789 km
SERRO/MG:BETIM/MG,SERRO/MG,BETIM/MG,255.481,255 km
MUZAMBINHO/MG:RIO DE JANEIRO/RJ,MUZAMBINHO/MG,RIO DE JANEIRO/RJ,540.8,541 km
BETIM/MG:EXTREMA/MG,BETIM/MG,EXTREMA/MG,446.169,446 km
JANAÚBA/MG:BETIM/MG,JANAÚBA/MG,BETIM/MG,559.21,559 km
SAPUCAÍ-MIRIM/MG:RIO DE JANEIRO/RJ,SAPUCAÍ-MIRIM/MG,RIO DE JANEIRO/RJ,348.564,349 km
SÃO LOURENÇO/MG:SÃO PAULO/SP,SÃO LOURENÇO/MG,SÃO PAULO/SP,287.355,287 km
PERDIGÃO/MG:IGARAPÉ/MG,PERDIGÃO/MG,IGARAPÉ/MG,122.705,123 km
GOVERNADOR VALADARES/MG:GUARULHOS/SP,GOVERNADOR VALADARES/MG,GUARULHOS/SP,879.39,879 km
PARÁ DE MINAS/MG:IGARAPÉ/MG,PARÁ DE MINAS/MG,IGARAPÉ/MG,65.581,"65,6 km"
BELO HORIZONTE/MG:CONTAGEM/MG,BELO HORIZONTE/MG,CONTAGEM/MG,14.198,"14,2 km"
PIUMHI/MG:IGARAPÉ/MG,PIUMHI/MG,IGARAPÉ/MG,240.474,240 km
SÃO PAULO/SP:MARINGÁ/PR,SÃO PAULO/SP,MARINGÁ/PR,647.61,648 km
EXTREMA/MG:BETIM/MG,EXTREMA/MG,BETIM/MG,447.081,447 km
CURVELO/MG:SÃO PAULO/SP,CURVELO/MG,SÃO PAULO/SP,721.502,722 km
EXTREMA/MG:SÃO PAULO/SP,EXTREMA/MG,SÃO PAULO/SP,109.555,110 km
BELO ORIENTE/MG:BETIM/MG,BELO ORIENTE/MG,BETIM/MG,279.504,280 km
SANTA LUZIA/MG:GUARULHOS/SP,SANTA LUZIA/MG,GUARULHOS/SP,584.796,585 km
ASTOLFO DUTRA/MG:RIO DE JANEIRO/RJ,ASTOLFO DUTRA/MG,RIO DE JANEIRO/RJ,275.638,276 km
RIO DE JANEIRO/RJ:PARÁ DE MINAS/MG,RIO DE JANEIRO/RJ,PARÁ DE MINAS/MG,513.47,513 km
IPABA/MG:UBERLÂNDIA/MG,IPABA/MG,UBERLÂNDIA/MG,764.141,764 km
BARROSO/MG:BETIM/MG,BARROSO/MG,BETIM/MG,216.533,217 km
BANDEIRA DO SUL/MG:RIO DE JANEIRO/RJ,BANDEIRA DO SUL/MG,RIO DE JANEIRO/RJ,487.059,487 km
POÇO FUNDO/MG:RIO DE JANEIRO/RJ,POÇO FUNDO/MG,RIO DE JANEIRO/RJ,438.911,439 km
MONTE BELO/MG:RIO DE JANEIRO/RJ,MONTE BELO/MG,RIO DE JANEIRO/RJ,513.623,514 km
POMPÉU/MG:SÃO PAULO/SP,POMPÉU/MG,SÃO PAULO/SP,657.882,658 km
CURITIBA/PR:SÃO JOSÉ DOS PINHAIS/PR,CURITIBA/PR,SÃO JOSÉ DOS PINHAIS/PR,14.791,"14,8 km"
ESPÍRITO SANTO DO PINHAL/SP:SÃO PAULO/SP,ESPÍRITO SANTO DO PINHAL/SP,SÃO PAULO/SP,191.907,192 km
CAMPOS ALTOS/MG:RIO DE JANEIRO/RJ,CAMPOS ALTOS/MG,RIO DE JANEIRO/RJ,700.609,701 km
MOEMA/MG:RIO DE JANEIRO/RJ,MOEMA/MG,RIO DE JANEIRO/RJ,606.563,607 km
MANHUAÇU/MG:RIO DE JANEIRO/RJ,MANHUAÇU/MG,RIO DE JANEIRO/RJ,429.94,430 km
CONSELHEIRO LAFAIETE/MG:GUARULHOS/SP,CONSELHEIRO LAFAIETE/MG,GUARULHOS/SP,578.737,579 km
BOM DESPACHO/MG:IGARAPÉ/MG,BOM DESPACHO/MG,IGARAPÉ/MG,141.194,141 km
BRASILÂNDIA DE MINAS/MG:BETIM/MG,BRASILÂNDIA DE MINAS/MG,BETIM/MG,496.664,497 km
PRUDENTE DE MORAIS/MG:RIO DE JANEIRO/RJ,PRUDENTE DE MORAIS/MG,RIO DE JANEIRO/RJ,507.924,508 km
PARACATU/MG:IGARAPÉ/MG,PARACATU/MG,IGARAPÉ/MG,523.533,524 km
MONTE SIÃO/MG:RIO DE JANEIRO/RJ,MONTE SIÃO/MG,RIO DE JANEIRO/RJ,467.51,468 km
BETIM/MG:SÃO SEBASTIÃO DO PARAÍSO/MG,BETIM/MG,SÃO SEBASTIÃO DO PARAÍSO/MG,364.858,365 km
PAPANDUVA/SC:SÃO PAULO/SP,PAPANDUVA/SC,SÃO PAULO/SP,583.735,584 km
FEIRA DE SANTANA/BA:SÃO PAULO/SP,FEIRA DE SANTANA/BA,SÃO PAULO/SP,1870.464,1.870 km
SÃO JOÃO EVANGELISTA/MG:BELO HORIZONTE/MG,SÃO JOÃO EVANGELISTA/MG,BELO HORIZONTE/MG,284.914,285 km
ITABIRA/MG:BETIM/MG,ITABIRA/MG,BETIM/MG,134.019,134 km
SÃO PAULO/SP:SALVADOR/BA,SÃO PAULO/SP,SALVADOR/BA,,
NANUQUE/MG:BETIM/MG,NANUQUE/MG,BETIM/MG,630.327,630 km
CAJURI/MG:CAÇAPAVA/SP,CAJURI/MG,CAÇAPAVA/SP,518.378,518 km
RIO DE JANEIRO/RJ:MARIANA/MG,RIO DE JANEIRO/RJ,MARIANA/MG,413.431,413 km
GRÃO MOGOL/MG:SÃO PAULO/SP,GRÃO MOGOL/MG,SÃO PAULO/SP,1125.706,1.126 km
ANÁPOLIS/GO:CONTAGEM/MG,ANÁPOLIS/GO,CONTAGEM/MG,824.805,825 km
RIO DE JANEIRO/RJ:PASSOS/MG,RIO DE JANEIRO/RJ,PASSOS/MG,610.267,610 km
TAPIRA/MG:RIO DE JANEIRO/RJ,TAPIRA/MG,RIO DE JANEIRO/RJ,845.282,845 km
UBERABA/MG:SÃO PAULO/SP,UBERABA/MG,SÃO PAULO/SP,482.145,482 km
NOVA SERRANA/MG:BELO HORIZONTE/MG,NOVA SERRANA/MG,BELO HORIZONTE/MG,124.675,125 km
RECIFE/PE:JUNDIAÍ/SP,RECIFE/PE,JUNDIAÍ/SP,2654.111,2.654 km
GUARULHOS/SP:ANDRADAS/MG,GUARULHOS/SP,ANDRADAS/MG,224.791,225 km
UBÁ/MG:BETIM/MG,UBÁ/MG,BETIM/MG,265.193,265 km
OURO PRETO/MG:IGARAPÉ/MG,OURO PRETO/MG,IGARAPÉ/MG,136.986,137 km
ARAPORÃ/MG:BETIM/MG,ARAPORÃ/MG,BETIM/MG,632.787,633 km
CONTAGEM/MG:BETIM/MG,CONTAGEM/MG,BETIM/MG,19.72,"19,7 km"
MIRAÍ/MG:BETIM/MG,MIRAÍ/MG,BETIM/MG,328.735,329 km
RIO DE JANEIRO/RJ:RIO PIRACICABA/MG,RIO DE JANEIRO/RJ,RIO PIRACICABA/MG,504.673,505 km
BETIM/MG:DIAMANTINA/MG,BETIM/MG,DIAMANTINA/MG,301.288,301 km
PASSOS/MG:IGARAPÉ/MG,PASSOS/MG,IGARAPÉ/MG,329.483,329 km
BARBACENA/MG:GUARULHOS/SP,BARBACENA/MG,GUARULHOS/SP,512.432,512 km
BURITIS/MG:SÃO PAULO/SP,BURITIS/MG,SÃO PAULO/SP,1113.018,1.113 km
CAMPINA GRANDE DO SUL/PR:SÃO PAULO/SP,CAMPINA GRANDE DO SUL/PR,SÃO PAULO/SP,396.965,397 km
TURMALINA/MG:GUARULHOS/SP,TURMALINA/MG,GUARULHOS/SP,1027.75,1.028 km
RIO DE JANEIRO/RJ:SÃO BENTO ABADE/MG,RIO DE JANEIRO/RJ,SÃO BENTO ABADE/MG,394.175,394 km
PIMENTA/MG:RIO DE JANEIRO/RJ,PIMENTA/MG,RIO DE JANEIRO/RJ,591.66,592 km
ARAÇOIABA DA SERRA/SP:SÃO PAULO/SP,ARAÇOIABA DA SERRA/SP,SÃO PAULO/SP,122.079,122 km
MAUÁ/SP:SALVADOR/BA,MAUÁ/SP,SALVADOR/BA,,
GOIOERÊ/PR:SÃO PAULO/SP,GOIOERÊ/PR,SÃO PAULO/SP,792.937,793 km
OURO BRANCO/MG:SÃO PAULO/SP,OURO BRANCO/MG,SÃO PAULO/SP,600.709,601 km
SÃO PAULO/SP:ARARAS/SP,SÃO PAULO/SP,ARARAS/SP,171.027,171 km
MANHUMIRIM/MG:BETIM/MG,MANHUMIRIM/MG,BETIM/MG,329.952,330 km
PASSA TEMPO/MG:BETIM/MG,PASSA TEMPO/MG,BETIM/MG,116.808,117 km
SANTANA DA VARGEM/MG:BELO HORIZONTE/MG,SANTANA DA VARGEM/MG,BELO HORIZONTE/MG,269.757,270 km
SANTOS DUMONT/MG:BETIM/MG,SANTOS DUMONT/MG,BETIM/MG,235.864,236 km
RIO PARANAÍBA/MG:SUZANO/SP,RIO PARANAÍBA/MG,SUZANO/SP,744.557,745 km
OURO BRANCO/MG:BETIM/MG,OURO BRANCO/MG,BETIM/MG,120.433,120 km
PALMAS/TO:ANÁPOLIS/GO,PALMAS/TO,ANÁPOLIS/GO,790.789,791 km
CAMPO MAGRO/PR:SÃO PAULO/SP,CAMPO MAGRO/PR,SÃO PAULO/SP,432.022,432 km
CONSELHEIRO LAFAIETE/MG:CAÇAPAVA/SP,CONSELHEIRO LAFAIETE/MG,CAÇAPAVA/SP,498.089,498 km
CARMO DE MINAS/MG:RIO DE JANEIRO/RJ,CARMO DE MINAS/MG,RIO DE JANEIRO/RJ,281.827,282 km
FRANCISCO BELTRÃO/PR:SÃO PAULO/SP,FRANCISCO BELTRÃO/PR,SÃO PAULO/SP,884.581,885 km
ALFREDO VASCONCELOS/MG:RIO DE JANEIRO/RJ,ALFREDO VASCONCELOS/MG,RIO DE JANEIRO/RJ,281.415,281 km
SANTA RITA DO SAPUCAÍ/MG:BETIM/MG,SANTA RITA DO SAPUCAÍ/MG,BETIM/MG,373.902,374 km
CAXAMBU/MG:BETIM/MG,CAXAMBU/MG,BETIM/MG,346.712,347 km
UBERLÂNDIA/MG:SÃO BERNARDO DO CAMPO/SP,UBERLÂNDIA/MG,SÃO BERNARDO DO CAMPO/SP,607.578,608 km
CATAS ALTAS/MG:RIO DE JANEIRO/RJ,CATAS ALTAS/MG,RIO DE JANEIRO/RJ,462.731,463 km
ARTUR NOGUEIRA/SP:SÃO PAULO/SP,ARTUR NOGUEIRA/SP,SÃO PAULO/SP,150.914,151 km
BETIM/MG:DIADEMA/SP,BETIM/MG,DIADEMA/SP,571.259,571 km
SÃO PAULO/SP:APARECIDA D'OESTE/SP,SÃO PAULO/SP,APARECIDA D'OESTE/SP,631.479,631 km
MATÃO/SP:SÃO PAULO/SP,MATÃO/SP,SÃO PAULO/SP,305.696,306 km
LAGOA DA PRATA/MG:IGARAPÉ/MG,LAGOA DA PRATA/MG,IGARAPÉ/MG,185.777,186 km
UBARANA/SP:SÃO PAULO/SP,UBARANA/SP,SÃO PAULO/SP,492.963,493 km
CALDAS/MG:RIO DE JANEIRO/RJ,CALDAS/MG,RIO DE JANEIRO/RJ,453.496,453 km
GUARANTÃ/SP:SÃO PAULO/SP,GUARANTÃ/SP,SÃO PAULO/SP,407.5,408 km
DIVINÓPOLIS/MG:INDAIATUBA/SP,DIVINÓPOLIS/MG,INDAIATUBA/SP,538.9,539 km
REGISTRO/SP:SÃO PAULO/SP,REGISTRO/SP,SÃO PAULO/SP,209.767,210 km
VÁRZEA GRANDE/MT:SÃO PAULO/SP,VÁRZEA GRANDE/MT,SÃO PAULO/SP,1540.357,1.540 km
SENADOR AMARAL/MG:RIO DE JANEIRO/RJ,SENADOR AMARAL/MG,RIO DE JANEIRO/RJ,437.728,438 km
SÃO JOÃO DA PONTE/MG:IGARAPÉ/MG,SÃO JOÃO DA PONTE/MG,IGARAPÉ/MG,549.876,550 km
LAJINHA/MG:BETIM/MG,LAJINHA/MG,BETIM/MG,365.245,365 km
SANTO ANTÔNIO DO AMPARO/MG:RIO DE JANEIRO/RJ,SANTO ANTÔNIO DO AMPARO/MG,RIO DE JANEIRO/RJ,453.253,453 km
MONTES CLAROS/MG:SUZANO/SP,MONTES CLAROS/MG,SUZANO/SP,1007.22,1.007 km
CAÇAPAVA/SP:JANAÚBA/MG,CAÇAPAVA/SP,JANAÚBA/MG,1063.155,1.063 km
CARATINGA/MG:BETIM/MG,CARATINGA/MG,BETIM/MG,324.228,324 km
LAMBARI/MG:SUZANO/SP,LAMBARI/MG,SUZANO/SP,299.987,300 km
BOITUVA/SP:SÃO PAULO/SP,BOITUVA/SP,SÃO PAULO/SP,122.243,122 km
UBERLÂNDIA/MG:BARRETOS/SP,UBERLÂNDIA/MG,BARRETOS/SP,241.386,241 km
NOVA LIMA/MG:BETIM/MG,NOVA LIMA/MG,BETIM/MG,49.911,"49,9 km"
CIANORTE/PR:SÃO PAULO/SP,CIANORTE/PR,SÃO PAULO/SP,711.334,711 km
MUNHOZ/MG:RIO DE JANEIRO/RJ,MUNHOZ/MG,RIO DE JANEIRO/RJ,516.78,517 km
SOROCABA/SP:SANTO ANTÔNIO DA PLATINA/PR,SOROCABA/SP,SANTO ANTÔNIO DA PLATINA/PR,339.885,340 km
CAMPINAS/SP:JUNDIAÍ/SP,CAMPINAS/SP,JUNDIAÍ/SP,41.015,"41,0 km"
SÃO PAULO/SP:MOCOCA/SP,SÃO PAULO/SP,MOCOCA/SP,261.481,261 km
RIBEIRÃO DAS NEVES/MG:BETIM/MG,RIBEIRÃO DAS NEVES/MG,BETIM/MG,41.18,"41,2 km"
ENGENHEIRO CALDAS/MG:RIO DE JANEIRO/RJ,ENGENHEIRO CALDAS/MG,RIO DE JANEIRO/RJ,546.815,547 km
RIO DE JANEIRO/RJ:SÃO GOTARDO/MG,RIO DE JANEIRO/RJ,SÃO GOTARDO/MG,723.546,724 km
MACHACALIS/MG:IGARAPÉ/MG,MACHACALIS/MG,IGARAPÉ/MG,660.616,661 km
MONTE SIÃO/MG:GUARULHOS/SP,MONTE SIÃO/MG,GUARULHOS/SP,145.724,146 km
PENÁPOLIS/SP:SÃO PAULO/SP,PENÁPOLIS/SP,SÃO PAULO/SP,479.361,479 km
CRICIÚMA/SC:SÃO PAULO/SP,CRICIÚMA/SC,SÃO PAULO/SP,888.353,888 km
SANTO ÂNGELO/RS:SÃO PAULO/SP,SANTO ÂNGELO/RS,SÃO PAULO/SP,1207.616,1.208 km
ITAGUAÍ/RJ:SÃO BERNARDO DO CAMPO/SP,ITAGUAÍ/RJ,SÃO BERNARDO DO CAMPO/SP,428.006,428 km
JACUTINGA/MG:RIO DE JANEIRO/RJ,JACUTINGA/MG,RIO DE JANEIRO/RJ,461.363,461 km
MANDAGUARI/PR:SÃO PAULO/SP,MANDAGUARI/PR,SÃO PAULO/SP,600.478,600 km
ITAMONTE/MG:SÃO PAULO/SP,ITAMONTE/MG,SÃO PAULO/SP,268.915,269 km
JEQUIÉ/BA:SALVADOR/BA,JEQUIÉ/BA,SALVADOR/BA,,
PIRANGUINHO/MG:RIO DE JANEIRO/RJ,PIRANGUINHO/MG,RIO DE JANEIRO/RJ,323.083,323 km
CAMPINA VERDE/MG:BETIM/MG,CAMPINA VERDE/MG,BETIM/MG,648.046,648 km
RIO DE JANEIRO/RJ:LARANJAL/MG,RIO DE JANEIRO/RJ,LARANJAL/MG,264.407,264 km
PAULA CÂNDIDO/MG:RIO DE JANEIRO/RJ,PAULA CÂNDIDO/MG,RIO DE JANEIRO/RJ,345.841,346 km
LAJINHA/MG:BELO HORIZONTE/MG,LAJINHA/MG,BELO HORIZONTE/MG,337.972,338 km
PERDÕES/MG:BETIM/MG,PERDÕES/MG,BETIM/MG,182.229,182 km
PIAU/MG:BETIM/MG,PIAU/MG,BETIM/MG,301.509,302 km
PADRE PARAÍSO/MG:GUARULHOS/SP,PADRE PARAÍSO/MG,GUARULHOS/SP,1107.168,1.107 km
MONTE MOR/SP:BELO HORIZONTE/MG,MONTE MOR/SP,BELO HORIZONTE/MG,624.106,624 km
NOVA PONTE/MG:RIO DE JANEIRO/RJ,NOVA PONTE/MG,RIO DE JANEIRO/RJ,964.623,965 km
IGARAPÉ/MG:SABARÁ/MG,IGARAPÉ/MG,SABARÁ/MG,68.339,"68,3 km"
CAMPO GRANDE/MS:SÃO BERNARDO DO CAMPO/SP,CAMPO GRANDE/MS,SÃO BERNARDO DO CAMPO/SP,999.157,999 km
BETIM/MG:PRATA/MG,BETIM/MG,PRATA/MG,589.998,590 km
ALFENAS/MG:BELO HORIZONTE/MG,ALFENAS/MG,BELO HORIZONTE/MG,342.43,342 km
BETIM/MG:CONCEIÇÃO DOS OUROS/MG,BETIM/MG,CONCEIÇÃO DOS OUROS/MG,387.658,388 km
SÃO SIMÃO/SP:SÃO PAULO/SP,SÃO SIMÃO/SP,SÃO PAULO/SP,279.804,280 km
PAIÇANDU/PR:SÃO PAULO/SP,PAIÇANDU/PR,SÃO PAULO/SP,645.516,646 km
PATROCÍNIO/MG:GUARULHOS/SP,PATROCÍNIO/MG,GUARULHOS/SP,642.269,642 km
ALMENARA/MG:RIO DE JANEIRO/RJ,ALMENARA/MG,RIO DE JANEIRO/RJ,1002.477,1.002 km
SÃO PAULO/SP:VINHEDO/SP,SÃO PAULO/SP,VINHEDO/SP,78.322,"78,3 km"
SÃO JOÃO DEL REI/MG:BELO HORIZONTE/MG,SÃO JOÃO DEL REI/MG,BELO HORIZONTE/MG,189.189,189 km
GUARANI/MG:BETIM/MG,GUARANI/MG,BETIM/MG,328.967,329 km
RIO DE JANEIRO/RJ:PATROCÍNIO DO MURIAÉ/MG,RIO DE JANEIRO/RJ,PATROCÍNIO DO MURIAÉ/MG,323.229,323 km
PENHA/SC:SÃO PAULO/SP,PENHA/SC,SÃO PAULO/SP,599.794,600 km
