ROTA,origem,destino,distancia_km,distancia_texto
HORTOLÂNDIA/SP:SÃO PAULO/SP,HORTOLÂNDIA/SP,SÃO PAULO/SP,115.151,115 km
MONTES CLAROS/MG:BETIM/MG,MONTES CLAROS/MG,BETIM/MG,427.78,428 km
BETIM/MG:BUENÓPOLIS/MG,BETIM/MG,BUENÓPOLIS/MG,287.438,287 km
CERQUILHO/SP:SÃO PAULO/SP,CERQUILHO/SP,SÃO PAULO/SP,150.243,150 km
ORLÂNDIA/SP:SÃO PAULO/SP,ORLÂNDIA/SP,SÃO PAULO/SP,367.309,367 km
LOURDES/SP:SÃO PAULO/SP,LOURDES/SP,SÃO PAULO/SP,555.258,555 km
ASSIS/SP:SÃO PAULO/SP,ASSIS/SP,SÃO PAULO/SP,437.62,438 km
ARARAQUARA/SP:SÃO PAULO/SP,ARARAQUARA/SP,SÃO PAULO/SP,277.43,277 km
NOVA ODESSA/SP:SÃO PAULO/SP,NOVA ODESSA/SP,SÃO PAULO/SP,125.669,126 km
GUARARÁ/MG:BETIM/MG,GUARARÁ/MG,BETIM/MG,321.266,321 km
TRÊS CORAÇÕES/MG:BETIM/MG,TRÊS CORAÇÕES/MG,BETIM/MG,263.24,263 km
ALFENAS/MG:IGARAPÉ/MG,ALFENAS/MG,IGARAPÉ/MG,296.433,296 km
MURIAÉ/MG:RIO DE JANEIRO/RJ,MURIAÉ/MG,RIO DE JANEIRO/RJ,300.868,301 km
OURO BRANCO/MG:RIO DE JANEIRO/RJ,OURO BRANCO/MG,RIO DE JANEIRO/RJ,368.697,369 km
JUNDIAÍ/SP:SÃO PAULO/SP,JUNDIAÍ/SP,SÃO PAULO/SP,59.428,"59,4 km"
AGUDOS/SP:SÃO PAULO/SP,AGUDOS/SP,SÃO PAULO/SP,312.193,312 km
UBERABA/MG:SUZANO/SP,UBERABA/MG,SUZANO/SP,525.1,525 km
UBERLÂNDIA/MG:SÃO PAULO/SP,UBERLÂNDIA/MG,SÃO PAULO/SP,587.469,587 km
RIBEIRÃO DAS NEVES/MG:IGARAPÉ/MG,RIBEIRÃO DAS NEVES/MG,IGARAPÉ/MG,56.351,"56,4 km"
MATINHOS/PR:SÃO PAULO/SP,MATINHOS/PR,SÃO PAULO/SP,468.923,469 km
PORECATU/PR:SÃO PAULO/SP,PORECATU/PR,SÃO PAULO/SP,554.045,554 km
CARLÓPOLIS/PR:SÃO PAULO/SP,CARLÓPOLIS/PR,SÃO PAULO/SP,389.429,389 km
CAMPINAS/SP:SÃO PAULO/SP,CAMPINAS/SP,SÃO PAULO/SP,94.686,"94,7 km"
IGARAPÉ/MG:IGARAPÉ/MG,IGARAPÉ/MG,IGARAPÉ/MG,0.0,1 m
BETIM/MG:CARRANCAS/MG,BETIM/MG,CARRANCAS/MG,249.04,249 km
VARGINHA/MG:BETIM/MG,VARGINHA/MG,BETIM/MG,283.744,284 km
PIRACICABA/SP:SÃO PAULO/SP,PIRACICABA/SP,SÃO PAULO/SP,156.999,157 km
BETIM/MG:IGARAPÉ/MG,BETIM/MG,IGARAPÉ/MG,16.867,"16,9 km"
ITURAMA/MG:UBERLÂNDIA/MG,ITURAMA/MG,UBERLÂNDIA/MG,246.234,246 km
GENERAL CARNEIRO/PR:SÃO PAULO/SP,GENERAL CARNEIRO/PR,SÃO PAULO/SP,691.203,691 km
TRÊS MARIAS/MG:BELO HORIZONTE/MG,TRÊS MARIAS/MG,BELO HORIZONTE/MG,272.384,272 km
GUAPÉ/MG:IGARAPÉ/MG,GUAPÉ/MG,IGARAPÉ/MG,283.335,283 km
IBIRITÉ/MG:CAÇAPAVA/SP,IBIRITÉ/MG,CAÇAPAVA/SP,519.717,520 km
ITAÍ/SP:SÃO PAULO/SP,ITAÍ/SP,SÃO PAULO/SP,307.016,307 km
UBERLÂNDIA/MG:GOIÂNIA/GO,UBERLÂNDIA/MG,GOIÂNIA/GO,338.678,339 km
BETIM/MG:BETIM/MG,BETIM/MG,BETIM/MG,0.0,1 m
UNAÍ/MG:BETIM/MG,UNAÍ/MG,BETIM/MG,608.109,608 km
TIROS/MG:IGARAPÉ/MG,TIROS/MG,IGARAPÉ/MG,280.5,280 km
SÃO JOÃO DEL REI/MG:IGARAPÉ/MG,SÃO JOÃO DEL REI/MG,IGARAPÉ/MG,195.327,195 km
BETIM/MG:TIMÓTEO/MG,BETIM/MG,TIMÓTEO/MG,264.918,265 km
ITABIRITO/MG:RIO DE JANEIRO/RJ,ITABIRITO/MG,RIO DE JANEIRO/RJ,405.857,406 km
CURVELO/MG:IGARAPÉ/MG,CURVELO/MG,IGARAPÉ/MG,183.808,184 km
PASSOS/MG:BETIM/MG,PASSOS/MG,BETIM/MG,317.846,318 km
LAVRAS/MG:RIO DE JANEIRO/RJ,LAVRAS/MG,RIO DE JANEIRO/RJ,430.175,430 km
